numDefects prebake flux cooling temp
1 13 1 1 1 1
2 4 1 1 2 2
3 20 1 1 1 2
4 42 1 1 2 1
5 14 1 2 2 2
6 10 1 2 1 1
7 36 1 2 2 1
8 5 1 2 1 2
9 29 2 1 2 1
10 10 2 1 1 2
11 28 2 1 2 2
12 100 2 1 1 1
13 11 2 2 1 2
14 17 2 2 2 1
15 53 2 2 1 1
16 23 2 2 2 2
17 30 1 1 1 1
18 16 1 1 2 2
19 15 1 1 1 2
20 43 1 1 2 1
21 15 1 2 2 2
22 17 1 2 1 1
23 29 1 2 2 1
24 9 1 2 1 2
25 0 2 1 2 1
26 26 2 1 1 2
27 173 2 1 2 2
28 129 2 1 1 1
29 15 2 2 1 2
30 2 2 2 2 1
31 70 2 2 1 1
32 22 2 2 2 2
33 26 1 1 1 1
34 11 1 1 2 2
35 20 1 1 1 2
36 46 1 1 2 1
37 17 1 2 2 2
38 16 1 2 1 1
39 53 1 2 2 1
40 16 1 2 1 2
41 14 2 1 2 1
42 9 2 1 1 2
43 19 2 1 2 2
44 151 2 1 1 1
45 11 2 2 1 2
46 17 2 2 2 1
47 89 2 2 1 1
48 7 2 2 2 2
